,open_time,o,h,l,c,v,close_time
2021-12-21 15:45:00,1640094300000,48852.21000000,48909.94000000,48852.20000000,48895.24000000,13.77683000,1640094359999
2021-12-21 15:46:00,1640094360000,48895.25000000,48904.23000000,48818.54000000,48822.46000000,24.33154000,1640094419999
2021-12-21 15:47:00,1640094420000,48822.45000000,48822.46000000,48775.87000000,48797.31000000,20.53257000,1640094479999
2021-12-21 15:48:00,1640094480000,48797.31000000,48829.48000000,48797.30000000,48823.64000000,12.51534000,1640094539999
2021-12-21 15:49:00,1640094540000,48823.64000000,48823.64000000,48774.81000000,48778.09000000,17.04938000,1640094599999
2021-12-21 15:50:00,1640094600000,48778.09000000,48823.62000000,48775.64000000,48812.02000000,13.27191000,1640094659999
2021-12-21 15:51:00,1640094660000,48812.02000000,48830.00000000,48797.72000000,48797.73000000,12.82669000,1640094719999
2021-12-21 15:52:00,1640094720000,48797.73000000,48830.06000000,48797.31000000,48826.53000000,10.22068000,1640094779999
2021-12-21 15:53:00,1640094780000,48826.52000000,48859.30000000,48817.72000000,48850.38000000,22.97989000,1640094839999
2021-12-21 15:54:00,1640094840000,48850.38000000,48892.99000000,48847.37000000,48886.74000000,19.69820000,1640094899999
2021-12-21 15:55:00,1640094900000,48886.75000000,48887.58000000,48839.74000000,48866.17000000,23.48115000,1640094959999
2021-12-21 15:56:00,1640094960000,48866.16000000,48870.50000000,48839.95000000,48848.83000000,15.03472000,1640095019999
2021-12-21 15:57:00,1640095020000,48848.82000000,48885.23000000,48837.00000000,48881.55000000,24.04539000,1640095079999
2021-12-21 15:58:00,1640095080000,48885.00000000,48939.69000000,48879.01000000,48927.96000000,36.10128000,1640095139999
2021-12-21 15:59:00,1640095140000,48927.97000000,48956.04000000,48909.48000000,48909.49000000,27.06049000,1640095199999
2021-12-21 16:00:00,1640095200000,48909.49000000,48956.98000000,48898.17000000,48956.92000000,26.57698000,1640095259999
2021-12-21 16:01:00,1640095260000,48956.92000000,48966.20000000,48912.36000000,48914.33000000,33.28786000,1640095319999
2021-12-21 16:02:00,1640095320000,48914.32000000,48930.01000000,48846.10000000,48879.10000000,33.58726000,1640095379999
2021-12-21 16:03:00,1640095380000,48879.11000000,48888.18000000,48846.47000000,48879.56000000,15.15446000,1640095439999
2021-12-21 16:04:00,1640095440000,48879.55000000,48887.24000000,48832.52000000,48837.26000000,21.52523000,1640095499999
2021-12-21 16:05:00,1640095500000,48833.25000000,48882.75000000,48825.74000000,48871.52000000,22.66947000,1640095559999
2021-12-21 16:06:00,1640095560000,48871.51000000,48882.96000000,48859.90000000,48874.57000000,10.18200000,1640095619999
2021-12-21 16:07:00,1640095620000,48874.57000000,48916.27000000,48869.99000000,48907.76000000,13.22090000,1640095679999
2021-12-21 16:08:00,1640095680000,48907.77000000,48922.44000000,48888.52000000,48889.44000000,23.49836000,1640095739999
2021-12-21 16:09:00,1640095740000,48889.44000000,48889.44000000,48845.31000000,48860.00000000,19.03992000,1640095799999
2021-12-21 16:10:00,1640095800000,48860.00000000,48887.99000000,48847.51000000,48876.61000000,15.68916000,1640095859999
2021-12-21 16:11:00,1640095860000,48881.29000000,48911.96000000,48870.84000000,48899.98000000,16.64719000,1640095919999
2021-12-21 16:12:00,1640095920000,48899.99000000,48933.03000000,48878.20000000,48878.20000000,17.86359000,1640095979999
2021-12-21 16:13:00,1640095980000,48878.20000000,48894.86000000,48850.83000000,48850.83000000,14.48606000,1640096039999
2021-12-21 16:14:00,1640096040000,48850.84000000,48876.99000000,48826.42000000,48853.61000000,17.00057000,1640096099999
2021-12-21 16:15:00,1640096100000,48853.62000000,48861.71000000,48821.12000000,48821.13000000,20.71708000,1640096159999
2021-12-21 16:16:00,1640096160000,48821.13000000,48836.58000000,48774.10000000,48793.92000000,30.16146000,1640096219999
2021-12-21 16:17:00,1640096220000,48793.92000000,48793.92000000,48715.37000000,48726.45000000,37.88170000,1640096279999
2021-12-21 16:18:00,1640096280000,48726.45000000,48742.74000000,48719.91000000,48726.17000000,30.86651000,1640096339999
2021-12-21 16:19:00,1640096340000,48724.35000000,48748.00000000,48720.40000000,48735.00000000,15.70472000,1640096399999
2021-12-21 16:20:00,1640096400000,48735.00000000,48735.00000000,48693.80000000,48694.78000000,34.64484000,1640096459999
2021-12-21 16:21:00,1640096460000,48694.78000000,48726.12000000,48694.78000000,48709.89000000,18.71446000,1640096519999
2021-12-21 16:22:00,1640096520000,48709.89000000,48721.00000000,48703.29000000,48710.74000000,21.55234000,1640096579999
2021-12-21 16:23:00,1640096580000,48710.75000000,48710.77000000,48616.52000000,48636.60000000,43.83861000,1640096639999
2021-12-21 16:24:00,1640096640000,48636.59000000,48658.56000000,48630.43000000,48643.89000000,24.29101000,1640096699999
2021-12-21 16:25:00,1640096700000,48643.89000000,48693.38000000,48643.88000000,48678.67000000,27.18067000,1640096759999
2021-12-21 16:26:00,1640096760000,48678.68000000,48719.21000000,48666.05000000,48698.24000000,23.69610000,1640096819999
2021-12-21 16:27:00,1640096820000,48698.24000000,48720.00000000,48679.98000000,48717.03000000,19.52849000,1640096879999
2021-12-21 16:28:00,1640096880000,48714.59000000,48741.95000000,48691.52000000,48701.38000000,22.28454000,1640096939999
2021-12-21 16:29:00,1640096940000,48701.38000000,48705.05000000,48643.90000000,48663.23000000,29.93798000,1640096999999
2021-12-21 16:30:00,1640097000000,48663.24000000,48719.13000000,48663.23000000,48716.06000000,19.74721000,1640097059999
2021-12-21 16:31:00,1640097060000,48716.06000000,48789.45000000,48708.91000000,48761.90000000,29.37056000,1640097119999
2021-12-21 16:32:00,1640097120000,48761.91000000,48772.05000000,48661.09000000,48772.04000000,40.48493000,1640097179999
2021-12-21 16:33:00,1640097180000,48772.04000000,48776.55000000,48754.40000000,48759.99000000,11.07995000,1640097239999
2021-12-21 16:34:00,1640097240000,48760.00000000,48774.11000000,48724.17000000,48729.99000000,10.67701000,1640097299999
2021-12-21 16:35:00,1640097300000,48730.00000000,48765.62000000,48713.41000000,48758.82000000,12.19850000,1640097359999
2021-12-21 16:36:00,1640097360000,48758.83000000,48850.00000000,48758.82000000,48846.29000000,28.68198000,1640097419999
2021-12-21 16:37:00,1640097420000,48846.28000000,48884.40000000,48834.65000000,48872.39000000,36.31990000,1640097479999
2021-12-21 16:38:00,1640097480000,48872.39000000,48899.83000000,48870.07000000,48894.72000000,11.26566000,1640097539999
2021-12-21 16:39:00,1640097540000,48894.72000000,48906.57000000,48866.71000000,48869.16000000,29.95144000,1640097599999
2021-12-21 16:40:00,1640097600000,48869.16000000,48880.57000000,48807.34000000,48841.74000000,15.93435000,1640097659999
2021-12-21 16:41:00,1640097660000,48841.75000000,48883.59000000,48840.46000000,48842.34000000,24.74008000,1640097719999
2021-12-21 16:42:00,1640097720000,48842.35000000,48842.35000000,48786.44000000,48791.24000000,12.45362000,1640097779999
2021-12-21 16:43:00,1640097780000,48791.25000000,48820.00000000,48753.14000000,48761.61000000,36.04304000,1640097839999
2021-12-21 16:44:00,1640097840000,48761.62000000,48780.00000000,48728.01000000,48767.61000000,23.18075000,1640097899999
2021-12-21 16:45:00,1640097900000,48767.61000000,48774.44000000,48653.83000000,48669.37000000,27.15990000,1640097959999
2021-12-21 16:46:00,1640097960000,48669.36000000,48687.13000000,48592.40000000,48627.33000000,47.27571000,1640098019999
2021-12-21 16:47:00,1640098020000,48627.33000000,48653.00000000,48615.33000000,48637.55000000,23.36078000,1640098079999
2021-12-21 16:48:00,1640098080000,48637.56000000,48682.24000000,48626.22000000,48664.98000000,21.92844000,1640098139999
2021-12-21 16:49:00,1640098140000,48664.98000000,48666.70000000,48601.00000000,48601.00000000,19.18825000,1640098199999
2021-12-21 16:50:00,1640098200000,48601.01000000,48603.70000000,48520.00000000,48546.66000000,51.26594000,1640098259999
2021-12-21 16:51:00,1640098260000,48546.65000000,48616.81000000,48546.65000000,48573.96000000,44.15748000,1640098319999
2021-12-21 16:52:00,1640098320000,48573.96000000,48647.88000000,48570.32000000,48627.60000000,30.03530000,1640098379999
2021-12-21 16:53:00,1640098380000,48627.59000000,48662.69000000,48620.68000000,48631.51000000,14.97748000,1640098439999
2021-12-21 16:54:00,1640098440000,48631.51000000,48631.56000000,48563.92000000,48576.42000000,25.48514000,1640098499999
2021-12-21 16:55:00,1640098500000,48576.43000000,48618.49000000,48569.06000000,48605.56000000,17.76956000,1640098559999
2021-12-21 16:56:00,1640098560000,48605.56000000,48612.82000000,48575.18000000,48584.55000000,17.08230000,1640098619999
2021-12-21 16:57:00,1640098620000,48584.55000000,48628.24000000,48580.00000000,48591.79000000,27.65606000,1640098679999
2021-12-21 16:58:00,1640098680000,48591.79000000,48607.88000000,48564.26000000,48592.02000000,25.72829000,1640098739999
2021-12-21 16:59:00,1640098740000,48592.03000000,48650.00000000,48592.02000000,48624.01000000,16.57411000,1640098799999
2021-12-21 17:00:00,1640098800000,48624.01000000,48698.98000000,48620.37000000,48674.70000000,19.18018000,1640098859999
2021-12-21 17:01:00,1640098860000,48674.71000000,48718.22000000,48650.10000000,48672.00000000,26.99641000,1640098919999
2021-12-21 17:02:00,1640098920000,48672.03000000,48713.00000000,48665.68000000,48687.88000000,10.37415000,1640098979999
2021-12-21 17:03:00,1640098980000,48687.88000000,48688.00000000,48606.63000000,48646.78000000,24.08163000,1640099039999
2021-12-21 17:04:00,1640099040000,48646.79000000,48657.00000000,48607.24000000,48607.33000000,10.88848000,1640099099999
2021-12-21 17:05:00,1640099100000,48607.32000000,48637.97000000,48587.09000000,48597.41000000,47.81460000,1640099159999
2021-12-21 17:06:00,1640099160000,48597.41000000,48674.06000000,48569.81000000,48653.43000000,66.43377000,1640099219999
2021-12-21 17:07:00,1640099220000,48653.42000000,48673.03000000,48646.94000000,48655.21000000,10.66461000,1640099279999
2021-12-21 17:08:00,1640099280000,48655.21000000,48657.79000000,48611.31000000,48617.39000000,18.76638000,1640099339999
2021-12-21 17:09:00,1640099340000,48617.39000000,48638.65000000,48605.61000000,48613.62000000,17.10240000,1640099399999
2021-12-21 17:10:00,1640099400000,48613.62000000,48620.20000000,48590.11000000,48608.41000000,23.00938000,1640099459999
2021-12-21 17:11:00,1640099460000,48608.42000000,48645.48000000,48591.01000000,48615.30000000,23.44499000,1640099519999
2021-12-21 17:12:00,1640099520000,48615.30000000,48622.12000000,48585.93000000,48616.03000000,38.00096000,1640099579999
2021-12-21 17:13:00,1640099580000,48618.02000000,48632.99000000,48611.44000000,48629.54000000,10.31480000,1640099639999
2021-12-21 17:14:00,1640099640000,48629.54000000,48677.23000000,48622.49000000,48649.49000000,15.03662000,1640099699999
2021-12-21 17:15:00,1640099700000,48649.50000000,48737.71000000,48632.00000000,48710.51000000,28.54069000,1640099759999
2021-12-21 17:16:00,1640099760000,48710.52000000,48771.95000000,48707.08000000,48745.02000000,25.76891000,1640099819999
2021-12-21 17:17:00,1640099820000,48745.03000000,48745.27000000,48716.57000000,48736.23000000,9.22414000,1640099879999
2021-12-21 17:18:00,1640099880000,48736.22000000,48750.00000000,48693.08000000,48719.15000000,18.12698000,1640099939999
2021-12-21 17:19:00,1640099940000,48719.14000000,48735.99000000,48702.06000000,48709.58000000,10.56817000,1640099999999
2021-12-21 17:20:00,1640100000000,48709.58000000,48719.99000000,48676.56000000,48712.63000000,11.89707000,1640100059999
2021-12-21 17:21:00,1640100060000,48712.62000000,48788.87000000,48710.67000000,48768.14000000,28.53785000,1640100119999
2021-12-21 17:22:00,1640100120000,48768.13000000,48778.68000000,48752.47000000,48775.70000000,14.53960000,1640100179999
2021-12-21 17:23:00,1640100180000,48775.70000000,48775.75000000,48682.78000000,48713.42000000,22.76615000,1640100239999
2021-12-21 17:24:00,1640100240000,48713.43000000,48722.79000000,48686.32000000,48686.32000000,27.46052000,1640100299999
2021-12-21 17:25:00,1640100300000,48686.33000000,48710.00000000,48639.83000000,48672.46000000,15.95403000,1640100359999
2021-12-21 17:26:00,1640100360000,48672.46000000,48696.73000000,48570.85000000,48586.39000000,50.00467000,1640100419999
2021-12-21 17:27:00,1640100420000,48590.72000000,48608.89000000,48512.31000000,48550.66000000,57.35413000,1640100479999
2021-12-21 17:28:00,1640100480000,48550.66000000,48555.51000000,48477.98000000,48495.84000000,82.00145000,1640100539999
2021-12-21 17:29:00,1640100540000,48495.84000000,48509.63000000,48431.25000000,48457.41000000,50.34942000,1640100599999
2021-12-21 17:30:00,1640100600000,48457.42000000,48500.00000000,48442.64000000,48442.65000000,51.72094000,1640100659999
